WhiteElo,BlackElo,Result,Moves,OpeningName
1826,1803,0-1,"['e3', 'e6', 'd4', 'Ne7', 'c4', 'Ng6', 'Nc3', 'Bb4', 'Nf3', 'Bxc3+']",Van't Kruijs Opening
1970,1881,1-0,"['e3', 'g6', 'd3', 'Bg7', 'Qf3', 'Nf6', 'Qg3', 'O-O', 'Nc3', 'd6']",Van't Kruijs Opening
1826,1863,0-1,"['e3', 'e5', 'Be2', 'd5', 'b3', 'Qg5', 'Bb2', 'e4', 'g3', 'Nf6']",Van't Kruijs Opening
1846,1909,1-0,"['e3', 'e5', 'b3', 'Nf6', 'Bb2', 'd5', 'Bxe5', 'Nc6', 'Bb2', 'd4']",Van't Kruijs Opening
1895,1905,1-0,"['e3', 'g6', 'b3', 'Bg7', 'd4', 'Nf6', 'Bb2', 'O-O', 'c3', 'c6']",Van't Kruijs Opening
2260,2221,1/2-1/2,"['e3', 'e6', 'b3', 'd5', 'Bb2', 'Nf6', 'f4', 'c5', 'Nf3', 'Nc6']",Van't Kruijs Opening
2460,2468,0-1,"['e3', 'd5', 'Ne2', 'e6', 'g3', 'Nf6', 'Bg2', 'c6', 'O-O', 'g6']",Van't Kruijs Opening
1905,1909,1-0,"['e3', 'd5', 'Nf3', 'Nf6', 'd4', 'Bg4', 'Nc3', 'Bxf3', 'Qxf3', 'c5']",Van't Kruijs Opening
2069,2046,1-0,"['e3', 'c5', 'Be2', 'Nc6', 'h3', 'e5', 'd3', 'd5', 'Nf3', 'f5']",Van't Kruijs Opening
2099,2030,0-1,"['e3', 'd5', 'd4', 'Bf5', 'c4', 'e6', 'Bd3', 'Bxd3', 'Qxd3', 'Nf6']",Van't Kruijs Opening
1981,1986,0-1,"['e3', 'e6', 'Ne2', 'd5', 'g3', 'Nf6', 'Bg2', 'Bd6', 'd4', 'c6']",Van't Kruijs Opening
2075,2096,0-1,"['e3', 'e5', 'c4', 'd5', 'cxd5', 'Qxd5', 'Nc3', 'Qd8', 'd4', 'Nf6']",Van't Kruijs Opening
2186,2164,0-1,"['e3', 'd5', 'd4', 'e6', 'Nf3', 'f5', 'c4', 'Nf6', 'Nc3', 'c6']",Van't Kruijs Opening
2138,2120,1-0,"['e3', 'd5', 'd4', 'e5', 'c4', 'exd4', 'exd4', 'c6', 'Nf3', 'Nf6']",Van't Kruijs Opening
