WhiteElo,BlackElo,Result,Moves,OpeningName
2042,2033,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Nc6', 'c4', 'd5', 'Nf3', 'Nf6']",Benoni Defense: Old Benoni
2280,2250,0-1,"['d4', 'c5', 'e3', 'b6', 'Nf3', 'cxd4', 'exd4', 'Bb7', 'Be2', 'Nf6']",Benoni Defense: Old Benoni
2321,2430,1/2-1/2,"['d4', 'c5', 'Nf3', 'cxd4', 'Bf4', 'e5', 'Bxe5', 'Nc6', 'Bxd4', 'Nxd4']",Benoni Defense: Old Benoni
2290,2229,1-0,"['d4', 'c5', 'd5', 'd6', 'Nc3', 'e5', 'dxe6', 'Bxe6', 'Bf4', 'Nf6']",Benoni Defense: Old Benoni
2975,2871,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'g6', 'e4', 'Bg7']",Benoni Defense: Old Benoni
2062,2117,0-1,"['d4', 'c5', 'd5', 'e5', 'dxe6', 'fxe6', 'e4', 'd5', 'Bd3', 'Nf6']",Benoni Defense: Old Benoni
2217,2087,0-1,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'Nf3', 'Nf6', 'Bd3', 'Bg4']",Benoni Defense: Old Benoni
2025,1999,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'f4', 'Nc6', 'Nf3', 'e6']",Benoni Defense: Old Benoni
2114,2160,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'd5', 'e3', 'd4']",Benoni Defense: Old Benoni
2062,2070,0-1,"['d4', 'c5', 'e4', 'cxd4', 'c3', 'dxc3', 'Nxc3', 'g6', 'Nf3', 'Bg7']",Benoni Defense: Old Benoni
1828,1804,1-0,"['d4', 'c5', 'Be3', 'e6', 'dxc5', 'Ne7', 'c3', 'Ng6', 'b4', 'a5']",Benoni Defense: Old Benoni
2232,2223,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nf6', 'Nb3', 'g6', 'Nc3', 'Bg7']",Benoni Defense: Old Benoni
2159,2165,0-1,"['d4', 'c5', 'd5', 'd6', 'Nc3', 'Bf5', 'e4', 'Bg6', 'Nf3', 'Nf6']",Benoni Defense: Old Benoni
1936,1924,0-1,"['d4', 'c5', 'd5', 'e6', 'c4', 'b5', 'e4', 'bxc4', 'Bxc4', 'Ba6']",Benoni Defense: Old Benoni
2049,2145,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Nc3', 'dxc3', 'e3', 'cxb2', 'Bxb2', 'f6']",Benoni Defense: Old Benoni
2152,2060,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'd5', 'Nb3', 'Nc6', 'e3', 'Nf6']",Benoni Defense: Old Benoni
2232,2230,1-0,"['d4', 'c5', 'd5', 'd6', 'c4', 'Nf6', 'Nc3', 'g6', 'e4', 'Bg7']",Benoni Defense: Old Benoni
2201,2452,1/2-1/2,"['d4', 'c5', 'c3', 'e6', 'e4', 'Nf6', 'e5', 'Nd5', 'Nf3', 'cxd4']",Benoni Defense: Old Benoni
2128,2075,0-1,"['d4', 'c5', 'e4', 'cxd4', 'c4', 'Nc6', 'c5', 'e5', 'a3', 'Qa5+']",Benoni Defense: Old Benoni
2433,2516,0-1,"['d4', 'c5', 'd5', 'd6', 'Nc3', 'Nf6', 'e4', 'e6', 'Bg5', 'exd5']",Benoni Defense: Old Benoni
2263,2230,0-1,"['d4', 'c5', 'c3', 'd6', 'Nf3', 'cxd4', 'cxd4', 'Nf6', 'Nc3', 'Bd7']",Benoni Defense: Old Benoni
2468,2410,1/2-1/2,"['d4', 'c5', 'c4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'Nxd4', 'Qxd4', 'Nf6']",Benoni Defense: Old Benoni
2117,2109,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Bf4', 'Nc6', 'Nxd4', 'e5', 'Nxc6', 'bxc6']",Benoni Defense: Old Benoni
2298,2267,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Nc3', 'e6']",Benoni Defense: Old Benoni
2072,2259,0-1,"['d4', 'c5', 'c3', 'cxd4', 'Qxd4', 'd5', 'Qd1', 'Nf6', 'Bf4', 'e6']",Benoni Defense: Old Benoni
1886,1895,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nxc6', 'bxc6', 'c3', 'd5']",Benoni Defense: Old Benoni
1915,1954,1-0,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'g6', 'a3', 'Bg7', 'e3', 'Nf6']",Benoni Defense: Old Benoni
2494,1989,1-0,"['d4', 'c5', 'd5', 'e6', 'e4', 'Nf6', 'Nc3', 'b5', 'Bxb5', 'Qa5']",Benoni Defense: Old Benoni
2341,2353,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'e5', 'Nxc6', 'bxc6']",Benoni Defense: Old Benoni
1843,1936,1-0,"['d4', 'c5', 'Bf4', 'd6', 'dxc5', 'Qa5+', 'c3', 'Qxc5', 'Nf3', 'Nf6']",Benoni Defense: Old Benoni
2133,2117,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Nf6', 'Nf3', 'e6', 'h3', 'Bb4+']",Benoni Defense: Old Benoni
2198,2189,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'c3', 'Nc6', 'cxd4', 'Nf6', 'd5', 'Nb4']",Benoni Defense: Old Benoni
1892,1905,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nf3', 'Nf6', 'Nc3', 'g6']",Benoni Defense: Old Benoni
1902,1910,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'd6', 'e3', 'e5', 'Nf3', 'Ne7']",Benoni Defense: Old Benoni
1929,2124,0-1,"['d4', 'c5', 'c3', 'cxd4', 'Bg5', 'h5', 'cxd4', 'Qa5+', 'Bd2', 'Qb6']",Benoni Defense: Old Benoni
2083,2142,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'e5', 'Nb5', 'Nf6', 'c4', 'Nc6']",Benoni Defense: Old Benoni
