WhiteElo,BlackElo,Result,Moves,OpeningName
2141,2053,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'Bg7', 'e3', 'd6', 'Nc3', 'Bf5']",Indian Defense
1912,1944,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'Bf4', 'Bb4', 'e3', 'Ne4', 'Ne2', 'd5']",Indian Defense
2209,2249,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'c5', 'Nc3', 'Nc6', 'Nb5', 'e5']",Indian Defense
2048,2095,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'c6', 'e4', 'Bg4', 'f3', 'Bh5']",Indian Defense
1881,1849,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'Bd3', 'd6', 'c3', 'Nbd7']",Indian Defense
2190,2175,1-0,"['d4', 'Nf6', 'c3', 'g6', 'f3', 'Bg7', 'e4', 'O-O', 'Bd3', 'd6']",Indian Defense
1996,2002,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'c5', 'c3', 'Nc6', 'Nf3', 'Qb6']",Indian Defense
2166,2112,1-0,"['d4', 'Nf6', 'e3', 'd5', 'f4', 'Nc6', 'Nf3', 'Bg4', 'c3', 'e6']",Indian Defense
2295,2203,1-0,"['d4', 'Nf6', 'e3', 'e6', 'f4', 'd5', 'Nf3', 'Bd6', 'Bd3', 'O-O']",Indian Defense
1830,1872,1-0,"['d4', 'Nf6', 'Nc3', 'Nc6', 'Bf4', 'd5', 'e3', 'Bf5', 'Nb5', 'e5']",Indian Defense
1824,2010,1/2-1/2,"['d4', 'Nf6', 'e3', 'e6', 'Bd3', 'd6', 'h4', 'Be7', 'h5', 'h6']",Indian Defense
2053,2171,1-0,"['d4', 'Nf6', 'e3', 'b6', 'f3', 'Bb7', 'Bd3', 'e6', 'Ne2', 'c5']",Indian Defense
1870,1872,0-1,"['d4', 'Nf6', 'e3', 'e6', 'a3', 'd5', 'Nc3', 'c5', 'b3', 'a6']",Indian Defense
2209,2207,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'Bf4', 'd5', 'e3', 'Bd6', 'Nf3', 'Bxf4']",Indian Defense
2631,2670,0-1,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'Be7', 'Bd3', 'O-O', 'b3', 'c5']",Indian Defense
2035,2127,1-0,"['d4', 'Nf6', 'h3', 'g6', 'Nf3', 'Bg7', 'Bf4', 'd6', 'e3', 'h5']",Indian Defense
2060,2001,0-1,"['d4', 'Nf6', 'Nc3', 'g6', 'Bf4', 'd5', 'Qd2', 'h6', 'h4', 'Bf5']",Indian Defense
2433,2293,0-1,"['d4', 'Nf6', 'Bf4', 'c6', 'e3', 'g5', 'Bxg5', 'Qa5+', 'Nd2', 'Qxg5']",Indian Defense
2078,2081,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'c5', 'Nd2', 'Qb6', 'Nb3', 'cxd4']",Indian Defense
2335,2333,1-0,"['d4', 'Nf6', 'e3', 'd5', 'c3', 'c5', 'f4', 'e6', 'Nf3', 'g6']",Indian Defense
2354,2328,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'Nc3', 'a6', 'e3', 'e6', 'g4', 'Bd6']",Indian Defense
2072,2239,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'c5', 'c3', 'Nc6', 'Nf3', 'Bg4']",Indian Defense
2054,1905,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'Nf3', 'c5', 'c3', 'Nc6', 'e3', 'Qb6']",Indian Defense
1946,2175,0-1,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'b6', 'Nc3', 'Bb7', 'Bd2', 'Bxf3']",Indian Defense
2018,1942,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'Nf3', 'd6', 'h3', 'O-O']",Indian Defense
1935,2118,0-1,"['d4', 'Nf6', 'c3', 'd5', 'Bg5', 'g6', 'Bxf6', 'Bg7', 'e3', 'exf6']",Indian Defense
1976,1989,1-0,"['d4', 'Nf6', 'h3', 'b6', 'Bf4', 'Bb7', 'e3', 'e6', 'c3', 'c5']",Indian Defense
1846,1810,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'd6', 'h3', 'Bg7', 'e3', 'O-O']",Indian Defense
2626,2592,1-0,"['d4', 'Nf6', 'e3', 'g6', 'Nf3', 'Bg7', 'Be2', 'O-O', 'O-O', 'd6']",Indian Defense
2019,1965,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'b6', 'Nf3', 'Bb7', 'Bd3', 'd6']",Indian Defense
1971,1981,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'Nbd7', 'e4', 'g6', 'Qd2', 'Bg7']",Indian Defense
2064,2097,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'Nc3', 'a6', 'e3', 'd5', 'Nf3', 'b5']",Indian Defense
2006,2013,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Qd2', 'Nbd7']",Indian Defense
2258,2336,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'Bg3', 'O-O', 'c3', 'd6']",Indian Defense
2014,2073,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'Nc3', 'a6', 'e3', 'Bf5', 'Bd3', 'Bxd3']",Indian Defense
1855,1873,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Qd2', 'Nh5']",Indian Defense
2042,2074,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'e6', 'Nf3', 'Bd6', 'Bg5', 'O-O']",Indian Defense
2436,2306,1-0,"['d4', 'Nf6', 'Bf4', 'd6', 'e3', 'g6', 'Nf3', 'Bg7', 'h3', 'O-O']",Indian Defense
2201,2238,1-0,"['d4', 'Nf6', 'e3', 'd5', 'h3', 'c5', 'c3', 'Nc6', 'Nf3', 'h5']",Indian Defense
